,id,make,model,orientation,width,height,color,color_space,enrollment,training
0,IC_193,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,129,122
1,IC_194,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,130,113
2,IC_195,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,130,119
3,IC_192,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,130,88
4,IC_205,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,129,95
5,IC_202,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,129,117
6,IC_203,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,129,84
7,IC_204,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,130,109
8,IC_197,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,130,80
9,IC_190,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,130,120
10,IC_199,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,129,94
11,IC_198,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,130,91
12,IC_191,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,130,111
13,IC_196,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,129,95
14,IC_201,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,129,109
15,IC_206,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,130,105
16,IC_208,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,130,101
17,IC_209,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,130,113
18,IC_207,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,130,99
19,IC_200,NIKON CORPORATION,NIKON D90,Horizontal (normal),2848,4288,RGB,Adobe RGB,129,90
